Pitcher,TaggedPitchType,RelSpeed,InducedVertBreak,HorzBreak,RelHeight,RelSide,Extension,SpinAxis,SpinRate,VertApprAngle,HorzApprAngle,PitcherThrows,BatterSide
"Booton, Trevor",Fastball,90.76856613636363,17.082331627906978,11.275105813953488,6.557944091,1.2287311363636364,5.396953636363636,214.9062531395349,2218.227257431818,-6.448427068,0.14315436363636366,Right,Right
"Booton, Trevor",FourSeamFastBall,89.13988,14.974395,10.833725000000001,6.60125,1.384105,5.346489999999999,218.144345,2090.560903,-7.5489375,0.0713885,Right,Right
"Booton, Trevor",Slider,79.955485,-0.360720625,-3.4762175,6.4692575,1.236425,5.3258206249999995,91.525495,2032.39234,-9.30983025,-0.80960475,Right,Right
"Bray, Elliott",ChangeUp,83.18904390243902,11.488822439024391,17.75215,6.170191219512195,0.3533314634146341,5.186841219512195,240.59688782926827,2013.9899659512196,-6.987145366,1.3164118292682927,Right,Right
"Bray, Elliott",Curveball,76.41418978723404,-12.52771979,-9.397385106,6.229846170212766,0.24729425531914895,4.750494893617021,32.451928872340424,2027.3940402340427,-10.53453777,-2.049049404,Right,Right
"Bray, Elliott",Fastball,88.539548,19.2494816,13.0716508,6.437589,-0.0091388,5.2971258,216.0135475,1991.5978810000001,-5.42909926,1.19090666,Right,Right
"Bray, Elliott",FourSeamFastBall,88.990275,19.00549875,11.27953375,6.4648175,0.043250000000000004,5.23821625,212.722615,1979.409936,-5.31958625,1.380755875,Right,Right
"Cannon, Will",ChangeUp,85.50510785714286,12.746238333333332,15.630706904761904,6.065817142857143,1.7807797619047618,5.846074761904762,233.6403775238095,1861.4221074999998,-6.786652048,-0.084317786,Right,Right
"Cannon, Will",Fastball,93.91588602409638,20.826240722891566,10.544864457831325,6.281158795180723,1.5915030120481928,5.698474337349397,208.09660139759038,2198.0783626024095,-5.281339,-0.949882337,Right,Right
"Cannon, Will",FourSeamFastBall,93.23549166666668,20.169609583333333,9.86141625,6.2657475,1.5776308333333333,5.69929875,207.34666220833333,2111.440032666667,-5.402282917,-0.9987415,Right,Right
"Cannon, Will",Slider,84.29101134328359,1.7669916417910447,-1.966755224,6.056735522,1.8276122388059701,5.5791455223880595,118.68652961194029,2292.1510402238805,-7.935666791,-2.378041075,Right,Right
"Carlson, Parker",ChangeUp,84.74671333333333,13.347245000000001,16.319681666666668,5.774723333333333,0.8888966666666667,5.709174999999999,233.68973233333335,1966.8366708333333,-7.128569333,0.28944349999999996,Right,Right
"Carlson, Parker",Curveball,78.80335483,-11.51138793,-10.13699069,5.980882068965517,0.6039393103448276,5.044085172413793,38.319391482758626,2587.4879590714286,-9.714583414,-1.783916862,Right,Right
"Carlson, Parker",Fastball,90.12472956521738,17.38339,3.166479130434783,5.929550869565218,0.7066204347826087,5.700256522,190.25812195652176,2226.5041730000003,-5.759077696,-0.541861652,Right,Right
"Carlson, Parker",FourSeamFastBall,91.04728666666666,18.14668888888889,2.588458888888889,5.9235605555555555,0.717758889,5.721178888888889,188.46911127777778,2323.9449520555554,-5.2806445,-1.257126,Right,Right
"Carlson, Parker",Sinker,90.66086785714285,14.322552619047618,13.361146904761906,5.885225714285714,0.7639945238095238,5.639837142857143,225.41264407142856,2219.953719642857,-6.130727905,0.7009410952380952,Right,Right
"Carlson, Parker",Slider,81.92623936170213,-2.836147766,-7.357539681,5.879630319148936,0.7715839361702128,4.936001170212766,61.473670563829785,2459.814754468085,-8.180299351,-1.799489532,Right,Right
"Carlson, Parker",TwoSeamFastBall,90.708582,17.037786,10.147588,5.880616,0.718816,5.7997320000000006,212.6374432,2286.55649,-4.8912364,0.42408599999999996,Right,Right
"Chancellor, Abe",ChangeUp,80.44353537037036,12.900332777777779,-17.37348741,6.195493333333333,-1.269863519,6.075156111111111,123.11883483333332,2115.782489611111,-7.33472937,-0.257362796,Left,Right
"Chancellor, Abe",Fastball,88.03250381,21.35107746031746,-7.705561429,6.43938619,-0.85137,6.169977936507937,158.79276496825395,2121.0603703492066,-5.683502667,0.13262342857142856,Left,Right
"Chancellor, Abe",FourSeamFastBall,88.12220500000001,20.000525,-8.3620325,6.357748333333333,-1.100079167,6.118048333333333,155.938548,2069.027968,-4.98470875,0.8772569166666666,Left,Right
"Chancellor, Abe",Slider,78.26721842105263,2.3979536842105262,1.9073763157894736,6.233001578947369,-1.218080789,5.838841578947369,223.8185945263158,1733.7730327105264,-8.715401737,1.8990043684210527,Left,Right
"Copeland, Konner",ChangeUp,78.93814974025975,9.656758441558441,-17.97122078,6.013224285714285,-1.463718571,5.8962915584415585,114.74940141558442,1904.2472872597402,-8.307402857,-0.213660883,Left,Right
"Copeland, Konner",Fastball,87.52290731481482,19.73676462962963,-12.3619588,6.3072448148148155,-1.206982315,5.92363787,146.31041166666668,2090.028647,-5.785439759,0.087633981,Left,Right
"Copeland, Konner",FourSeamFastBall,88.0582175,17.79511666666667,-13.13471167,6.291632083333333,-1.266875417,5.961356666666667,141.4953658,2055.2601099999997,-5.928494333,0.201471375,Left,Right
"Copeland, Konner",Slider,77.54763533333333,3.1767731111111113,0.7347013333333333,6.2237628888888885,-1.355380444,5.623002666666666,203.30556046666666,1724.7260317111109,-8.476317756,1.5700925777777779,Left,Right
"Crotchfelt, Zach",ChangeUp,85.08006735294119,12.787549705882354,-16.66235176,5.9409488235294114,-1.918980294,5.646528529411764,124.74110917647059,1978.7919506176472,-6.859860706,0.36382494117647063,Left,Right
"Crotchfelt, Zach",Fastball,90.94350684684684,18.350543153153154,-10.60784261,6.004216396396397,-1.863987658,5.500211621621622,148.68845874774775,2298.8033960540542,-4.948998874,1.0417606396396397,Left,Right
"Crotchfelt, Zach",FourSeamFastBall,90.75638763157895,17.581970000000002,-9.645372895,6.049869736842105,-1.704541316,5.565749474,149.71332186842105,2315.5233488421054,-5.1965705,1.3882342105263157,Left,Right
"Crotchfelt, Zach",Slider,82.33347357142857,8.811710952380952,-0.724453571,5.998886428571429,-1.768741429,5.820425238095238,182.9291300238095,2111.213405904762,-7.719598929,1.877895976190476,Left,Right
"Gonzalez, Joseph",ChangeUp,83.57647409090909,11.779095454545455,17.862157272727273,5.818150909090909,2.691434090909091,4.831285,238.87030154545454,2136.587644090909,-7.260737682,-0.059584,Right,Right
"Gonzalez, Joseph",Fastball,89.10774517241379,15.054043793103448,16.790355862068967,5.895788965517242,2.5432989655172413,4.715391034482758,230.66731537931034,2169.5735686206895,-5.625553966,-0.964120069,Right,Right
"Gonzalez, Joseph",FourSeamFastBall,90.87841769230769,12.321933076923077,19.09212153846154,5.942392307692307,2.5791376923076923,4.774263076923077,240.0100863846154,2192.510200769231,-5.763636077,-0.557678154,Right,Right
"Gonzalez, Joseph",Sinker,89.04997095238096,10.802228571428572,18.677564761904762,5.907987835497836,2.5246094805194805,4.825413506493506,243.1445843160173,2126.4928733896104,-6.260817805,-0.506896169,Right,Right
"Gonzalez, Joseph",Slider,84.76601065217392,3.0635576086956524,7.035370217391304,5.836418260869565,2.6048030434782605,4.8580533695652175,253.04075469565217,2212.8604656847824,-7.536662967,-2.072798109,Right,Right
"Graves, Griffin",ChangeUp,85.24078722222222,10.547590555555555,-15.68913111,5.428103888888889,-2.234102778,5.997317222222223,119.62375605555556,2012.1520162222223,-6.630145222,-0.219064167,Left,Right
"Graves, Griffin",Fastball,90.9029858,19.6928976,-6.6602934,5.5397381333333335,-1.968628933,5.9369514,160.46710914666667,2332.934267060403,-4.45523656,1.3879187199999998,Left,Right
"Graves, Griffin",FourSeamFastBall,91.47507315789474,19.17000052631579,-4.611791842,5.505135,-2.007637895,6.156757631578948,165.86007810526317,2307.3116262105264,-4.655303132,1.7934382368421053,Left,Right
"Graves, Griffin",Slider,80.25100804347827,-0.303331739,5.838753695652174,5.501797826086956,-2.058367391,5.188969347826087,283.95750695652174,2457.3248451111112,-7.416499478,2.587226195652174,Left,Right
"Herberholz, Christian",ChangeUp,84.55000090909091,6.489500101010101,18.394260404040406,5.719965959595959,1.6928844444444444,5.1179989898989895,254.28853034343436,1739.0034357979796,-7.625805424,0.15193817171717172,Right,Right
"Herberholz, Christian",Curveball,76.53166303030302,-13.13629303,-12.96062455,5.947438484848485,1.3878815151515151,4.893262727272727,41.21062303030303,2293.086332,-9.626345606,-2.462242727,Right,Right
"Herberholz, Christian",Fastball,91.42260262135923,19.718673495145634,14.176872038834953,5.9858318446601935,1.3207664077669903,5.173333689320389,217.50370053398058,2197.4736443980582,-4.725206874,-0.027988641,Right,Right
